Pelicula,Recomendaciones
The Trio,"['Führer Ex', 'Strapped', 'Harvest', 'American Translation', 'Jitters']"
Atlantis: The Lost Empire,"['Treasure Planet', 'Mulan', 'Pocahontas', 'Dinosaur', 'Lilo & Stitch']"
The Fast and the Furious,"['2 Fast 2 Furious', 'Fast Five', 'The Fate of the Furious', 'Cairn', 'DodgeBall: A True Underdog Story']"
A.I. Artificial Intelligence,"['Full Metal Jacket', 'Letters from Iwo Jima', 'Flags of Our Fathers', 'Eyes Wide Shut', 'War of the Worlds']"
Baby Boy,"['Higher Learning', 'Rosewood', 'Revenge', 'True Believer', 'Little Women']"
Crazy/Beautiful,"['When a Man Loves a Woman', 'The Other Sister', 'Mumford', 'New York Stories', 'Barefoot']"
Down from the Mountain,"['Buena Vista Social Club', 'The Decline of Western Civilization Part II: The Metal Years', 'Down from the Mountain', 'Imagine: John Lennon', ""Won't Anybody Listen""]"
Sexy Beast,"['Tideland', 'Rough Magic', 'Stealing Beauty', 'Insignificance', 'The Hit']"
The Princess and the Warrior,"['Wintersleepers', 'Gigantics', 'Good bye, Lenin!', 'The Dark Valley', 'Run Lola Run']"
The Closet,"['The Dinner Game', 'The Valet', 'The Moon in the Gutter', 'Cuisine et dépendances', ""My Mother's Castle""]"
Wolves,"['King and the Clown', 'The Up in Smoke Tour', 'Sleepaway Camp', 'Amuck!', 'They Call Me Trinity']"
The Crimson Rivers,"[""L'agression"", 'Out of It', 'Subway', 'Mea Culpa', 'Cop or Hood']"
Kiss of the Dragon,"['The Transporter', 'Kung Pow: Enter the Fist', 'Transporter 2', 'French Connection II', 'Rapid Fire']"
Lost and Delirious,"['Set Me Free', 'The Other Son', 'Devdas', ""An Autumn's Tale"", 'Mera Naam Joker']"
The Vertical Ray of the Sun,"['Stadtgespräch', 'Assassin(s)', 'Stations of the Cross', 'Code Unknown', 'The Piano Tuner of Earthquakes']"
Alice,"['Mermaids', 'Alice', 'Secret Admirer', ""A Midsummer Night's Sex Comedy"", 'Radio Days']"
Another Woman,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
The Cannonball Run,"['Quiet Chaos', 'Death Hunt', 'Mongol: The Rise of Genghis Khan', 'The Nightingale', 'Infection']"
Salvador,"['Chattahoochee', 'The Falcon and the Snowman', ""River's Edge"", 'Best Seller', 'Highway to Hell']"
September,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
Shadows and Fog,"['Desperately Seeking Susan', 'Easy Money', 'Zelig', 'Radio Days', 'Hannah and Her Sisters']"
Something Wild,"['Naked', 'Withnail & I', 'Mona Lisa', ""Heaven's Gate"", 'The King of Marvin Gardens']"
Nice Dreams,"['Things Are Tough All Over', 'The Big Chill', 'Big Daddy', '28 Days', 'Postcards from the Edge']"
Things Are Tough All Over,"['Nice Dreams', 'A Few Good Men', 'The Sugarland Express', 'Jaws', 'Cocoon']"
Cries and Whispers,"['Fanny & Alexander', 'Everyone Loves Alice', 'Scenes from a Marriage', 'Just Bea', 'The Sacrifice']"
The Garden of the Finzi-Continis,"['Why', 'A Girl in Australia', 'The Call of the Wild', 'Chariots of the Gods', 'To the Devil a Daughter']"
Colonel Redl,"['Sarajevo', 'The Boat Is Full', 'From the Life of the Marionettes', 'Stadtgespräch', 'Mephisto']"
Obsession,"['Shamus', '...And Justice for All', 'Hero', 'The Bone Collector', 'The End of the Affair']"
Suspiria,"['Deep Red', 'Four Flies on Grey Velvet', ""The Cat o' Nine Tails"", 'The Bird with the Crystal Plumage', 'Dark Prince: The True Story of Dracula']"
Fist of Fury,"['Once Upon a Time in China', 'Last Hurrah for Chivalry', 'Crime Story', 'The Big Boss', 'Once Upon a Time in China II']"
Christiane F.,"['Dream City', 'Deep End', 'Tales from the Vienna Woods', 'The Pearl Color', 'Gods']"
The Big Boss,"['Once Upon a Time in China', 'Last Hurrah for Chivalry', 'Once Upon a Time in China II', 'Fist of Fury', 'Mr. Nice Guy']"
Game of Death,"['The Way of the Dragon', 'Enter the Dragon', 'Crime Story', 'Fist of Fury', 'Armour of God II: Operation Condor']"
The Last Dragon,"['Real Genius', 'The Bingo Long Traveling All-Stars & Motor Kings', 'The Legend of Billie Jean', 'Night of the Creeps', 'Places in the Heart']"
Outland,"['Divine Madness', 'Star 80', 'Blade Runner', 'Once Upon a Time in America', 'Police Academy']"
The Way of the Dragon,"['Game of Death', 'Enter the Dragon', 'Mr. Nice Guy', 'Crime Story', 'The Big Boss']"
Legally Blonde,"['Strange Brew', 'Buddy Buddy', 'The Sunshine Boys', 'Diner', 'Barbershop']"
The Score,"['Death Wish', 'Juice', '48 Hrs.', 'Mikey and Nicky', 'Nick of Time']"
Adanggaman,"['Days and Clouds', 'Vodka Lemon', 'Novo', 'Better Things', 'Corpo celeste']"
Bully,"['Fog in August', 'When Pigs Have Wings', 'Delicacy', 'Corto Maltese: The Ballad of the Salt Sea', 'Corto Maltese: Under the Sign of Capricorn']"
Jump Tomorrow,"['Wet Hot American Summer', 'The Warrior', 'Very Annie Mary', 'The Postman', 'Cold Comfort Farm']"
Made,"['The Limey', 'Belly', 'Requiem for a Dream', 'Stir of Echoes', 'Madonna: Truth or Dare']"
Michael Jordan to the Max,"['Born to Be Wild', 'Hubble 3D', 'Under the Sea 3D', 'Destiny in Space', 'Everest']"
More,"['The Cathedral', 'Zone of the Enders: Idolo', 'Cloverfield', 'Tamala 2010: A Punk Cat in Space', 'Tales from the Gimli Hospital']"
Thrill Ride: The Science of Fun,"['Morning of the Earth', 'Craigslist Joe', 'King Lines', 'Long Way Round', 'Symphony of the Soil']"
Encounter in the Third Dimension,"['Wings of Courage', 'The Pixar Story', 'Thunder and the House of Magic', 'The New Watchdogs', 'Enter the Battlefield: Life on the Magic - The Gathering Pro Tour']"
The Accused,"['The Browning Version', 'Losing Isaiah', 'Mommie Dearest', 'True Colors', 'Bang the Drum Slowly']"
The Adventures of Baron Munchausen,"['James and the Giant Peach', 'No Escape', 'Brassed Off', 'Ghostbusters II', 'The Horsemen']"
Apartment Zero,"['Tattoo', 'Films to Keep You Awake: The Christmas Tale', 'Post Mortem', 'Hotel', 'Autopsy']"
Appointment with Death,"['Eye of God', 'The Hound of the Baskervilles', 'Moss', 'The Priests', 'Diary of June']"
Ariel,"['The Worthless', 'Shadows in Paradise', 'Leningrad Cowboys Go America', 'Calamari Union', 'Take Care of Your Scarf, Tatiana']"
Beaches,"['Three Fugitives', 'Dead Poets Society', 'Pretty Woman', 'The Color of Money', 'Tin Men']"
The Beast of War,"['Hedd Wyn', 'Prisoner of the Mountains', 'Fateless', 'Taistelu Näsilinnasta 1918', 'War Witch']"
Biloxi Blues,"['Brighton Beach Memoirs', 'Hot Stuff', 'California Suite', 'Chapter Two', 'Seems Like Old Times']"
Bird,"['The Outlaw Josey Wales', 'Any Which Way You Can', 'Dirty Harry', 'Midnight in the Garden of Good and Evil', 'Trouble with the Curve']"
The Blob,"['Brain Damage', 'Chances Are', 'Night of the Creeps', 'Tetsuo: The Iron Man', 'Blinky™']"
Camille Claudel 1915,"['Hadewijch', 'Humanité', 'A Christmas Tale', 'The Diving Bell and the Butterfly', ""Li'l Quinquin""]"
Clean and Sober,"['Stand and Deliver', 'Running on Empty', 'ATL', 'One Trick Pony', '42']"
Colors,"['At Close Range', 'Over the Edge', 'Mississippi Burning', 'Throw Momma from the Train', 'Dirty Rotten Scoundrels']"
Coming to America,"['Beverly Hills Cop', 'Eddie Murphy Raw', 'Beverly Hills Cop II', 'Serial', 'How to Lose a Guy in 10 Days']"
The Dead Pool,"['The Gauntlet', 'A Perfect World', 'Dirty Harry', 'Blood Work', 'Trouble with the Curve']"
Dirty Rotten Scoundrels,"['Dirty Rotten Scoundrels', 'At Close Range', 'Over the Edge', 'Desperately Seeking Susan', 'Easy Money']"
Drowning by Numbers,"[""Prospero's Books"", 'The Broken Landlord', 'Skylab', 'The Pearl Color', 'Gods']"
"Elvira, Mistress of the Dark","['Godzilla 1985', 'Death Race 2000', 'The Tempest', 'Hollywood Boulevard', ""Late Night with Conan O'Brien: The Best of Triumph the Insult Comic Dog""]"
For Keeps,"['Rad', 'Only You', 'It Could Happen to You', 'Sleepless in Seattle', 'Nothing in Common']"
Frantic,"['Tequila Sunrise', 'The Pelican Brief', 'The Last of Sheila', 'The Yakuza', 'Deathtrap']"
Gorillas in the Mist,"['Vision Quest', 'The Color Purple', 'Innerspace', 'Batman', 'The Witches of Eastwick']"
The Great Outdoors,"['Uncle Buck', 'Some Kind of Wonderful', ""National Lampoon's Christmas Vacation"", 'Dutch', 'Only the Lonely']"
Imagine: John Lennon,"['Buena Vista Social Club', 'The Decline of Western Civilization Part II: The Metal Years', 'Down from the Mountain', 'Imagine: John Lennon', ""Won't Anybody Listen""]"
Lady in White,"['Train to Busan', 'Pandora', ""5150 Elm's Way"", 'Autopsy', 'Two Evil Eyes']"
The Land Before Time,"['Back to the Future', 'Back to the Future Part II', 'Back to the Future Part III', 'Balto II: Wolf Quest', 'An American Tail']"
License to Drive,"['Behind Enemy Lines', 'Courage Under Fire', 'Max Dugan Returns', 'Because of Winn-Dixie', 'Kung Pow: Enter the Fist']"
The Milagro Beanfield War,"['Melvin and Howard', 'Where the Buffalo Roam', 'The Milagro Beanfield War', 'Slap Shot', 'Bowfinger']"
Moon Over Parador,"['Minnie and Moskowitz', 'About a Boy', 'The Four Seasons', 'Car Wash', 'Sixteen Candles']"
Bagdad Cafe,"['Martha', 'Where the Green Ants Dream', 'In a Year with 13 Moons', 'Paris, Texas', 'The Zero Years']"
The Return of the Living Dead,"['The Terminator', 'Salvador', 'Chattahoochee', 'Highway to Hell', ""Vampire's Kiss""]"
Return to Snowy River,"['Ground Zero', 'The Adventures of Huck Finn', 'Iron Will', 'The Apple Dumpling Gang Rides Again', 'Homeward Bound II: Lost in San Francisco']"
The Man from Snowy River,"['The Last Hard Men', 'Kid Blue', 'Max Dugan Returns', 'Because of Winn-Dixie', 'Waiting to Exhale']"
Rocket Gibraltar,"['The End of the Affair', 'Ali', 'Hard Times', 'Godspell: A Musical Based on the Gospel According to St. Matthew', 'Stir Crazy']"
Running on Empty,"['Running on Empty', 'ATL', 'One Trick Pony', '42', 'Rage']"
The Serpent and the Rainbow,"['The Serpent and the Rainbow', 'Ghost Story', 'The Car', 'Into the Night', 'The Sentinel']"
Shakedown,"['The River Thief', 'Stone of Destiny', 'Framed', 'Billy Jack', 'The Snow Walker']"
Shoot to Kill,"['Adventures in Babysitting', 'Good Morning, Vietnam', 'The Color of Money', 'Stakeout', 'Tin Men']"
Short Circuit,"['The River Wild', 'Running Scared', 'The Drowning Pool', 'Chances Are', 'Rad']"
The Vanishing,"['Macabre', 'Autopsy', 'Two Evil Eyes', 'Habit', 'The Conspiracy']"
Tetsuo: The Iron Man,"['Blinky™', 'The Surgeon', 'Project Viper', 'Monster High', 'UFO Abduction']"
They Live,"['Prince of Darkness', 'The People Under the Stairs', ""Blind Spot: Hitler's Secretary"", 'Slither', 'The Andromeda Strain']"
To Kill a Priest,"['Black Venus', 'Casualties of War', '1776', 'The End of the Affair', 'Ali']"
Torch Song Trilogy,"['8 Seconds', 'Damage', 'The Notebook', 'House Party', 'The Upside of Anger']"
Track 29,"['Monty Python Live at the Hollywood Bowl', 'Time Bandits', 'Withnail & I', 'Mona Lisa', 'Life of Brian']"
Tucker: The Man and His Dream,"['Raiders of the Lost Ark', 'Indiana Jones and the Last Crusade', 'Indiana Jones and the Temple of Doom', 'The Browning Version', 'Losing Isaiah']"
Without a Clue,"['The Believers', 'Mississippi Burning', 'Throw Momma from the Train', 'Dirty Rotten Scoundrels', 'Shadows and Fog']"
Always,"['How To Make An American Quilt', 'The Money Pit', 'Until September', 'To Wong Foo, Thanks for Everything! Julie Newmar', 'Annie Hall']"
Best of the Best 2,"['Korengal', 'Hounddog', ""By Dawn's Early Light"", 'The Escapist', 'Mulholland Dr.']"
Bill & Ted's Excellent Adventure,"['Time After Time', 'Simon', 'RoboCop', 'Monkey Shines', 'Remo Williams: The Adventure Begins...']"
Black Rain,"['Bounty Hunters', 'Saving General Yang', ""Who'll Stop the Rain"", 'Death Wish', 'Juice']"
Blind Fury,"['Pitch Black', 'Jumanji', 'The Associate', 'Turk 182!', 'Class Action']"
Casualties of War,"['Young Winston', 'Hope and Glory', '1776', 'The End of the Affair', 'Ali']"
Chances Are,"['Wilder Napalm', ""My Best Friend's Wedding"", 'Only You', 'It Could Happen to You', 'Sleepless in Seattle']"
The Dream Team,"['The Dream Team', ""Three O'Clock High"", 'The Secret of My Success', 'I Wanna Hold Your Hand', 'Guest House Paradiso']"
A Dry White Season,"['Mulholland Falls', 'Coma', 'Of Mice and Men', 'Fame', 'CrissCross']"
Eddie and the Cruisers II: Eddie Lives!,"['The Night the Lights Went Out in Georgia', 'La traviata', 'Into the Woods', 'Vitus', 'Janie Jones']"
Eddie and the Cruisers,"['Brazil', 'Carnal Knowledge', 'Champions', 'The Adventurers', 'The Sure Thing']"
Erik the Viking,"['The Emigrants', 'The Children of Noisy Village', 'More About the Children of Noisy Village', 'The New Land', 'My Life as a Dog']"
Fat Man and Little Boy,"['Cromwell', 'The Lost Battalion', '120', 'The Desert of the Tartars', 'Michael the Brave']"
Great Balls of Fire!,"['Dominick and Eugene', 'Radio Days', 'Hannah and Her Sisters', 'Heart Beat', 'Desperately Seeking Susan']"
How to Get Ahead in Advertising,"['Withnail & I', 'Mona Lisa', 'Naked', 'Monsoon Wedding', 'Track 29']"
An Innocent Man,"['Big Trouble', 'The Crew', 'The Program', 'The War at Home', 'Kundun']"
Jacknife,"['Talk Radio', ""Sign 'o' the Times"", 'The Last Temptation of Christ', 'The Grifters', 'Kickboxer']"
Johnny Handsome,"['Vision Quest', 'Gorillas in the Mist', 'The Color Purple', 'The Legend of Billie Jean', 'Innerspace']"
Jesus of Montreal,"['Young Girls in Black', 'My Life in Pink', 'Mondo', 'Love Forbidden', 'Margarita']"
Kickboxer,"['Eye of the Needle', 'The Big Easy', 'The Best of Times', 'Bloodbrothers', 'Touch and Go']"
Last Exit to Brooklyn,"['Werner - Beinhart!', 'A Year Ago in Winter', 'James and the Giant Peach', 'Ödipussi', 'Fuck You Goethe 2']"
Lean On Me,"['My Dog Tulip', 'Stand and Deliver', 'Running on Empty', 'ATL', 'One Trick Pony']"
Let It Ride,"['Tommy Boy', 'Up in Smoke', 'Pretty in Pink', 'Airplane!', 'Airplane II: The Sequel']"
Leviathan,"['Westworld', ""Logan's Run"", '2010', 'Brainstorm', 'Endangered Species']"
Lock Up,"['Q & A', 'Music Box', 'Rambo: First Blood Part II', 'Total Recall', ""Jacob's Ladder""]"
Major League,"['Searching for Bobby Fischer', 'The Firm', 'Sense and Sensibility', 'Absence of Malice', 'Sliding Doors']"
Meet the Feebles,"['The Frighteners', 'The Lord of the Rings: The Return of the King', 'A Long Hot Summer', 'Hamlet 2', 'Fight for Your Right Revisited']"
Miracle Mile,"['Highway to Hell', 'Salvador', 'Chattahoochee', 'Deliver Us from Eva', 'The Falcon and the Snowman']"
New York Stories,"['Mumford', 'New York Stories', 'Barefoot', 'Sweet Home Alabama', 'When a Man Loves a Woman']"
Parents,"[""The Halloween That Almost Wasn't"", 'Sundown: The Vampire in Retreat', 'The Rainbow', 'Waydowntown', 'Dead Set']"
Brother,"['Fireworks', 'Zatoichi', 'Kikujiro', 'Tideland', 'Rough Magic']"
Ghost World,"['The Perks of Being a Wallflower', ""Ripley's Game"", 'Kattradhu Thamizh', 'Erin Brockovich', 'Labor Day']"
Hedwig and the Angry Inch,"['Hairspray', 'Storytelling', 'Friday', 'Next Friday', 'Polyester']"
Bread and Tulips,"['Eternity and a Day', 'The Postman', 'Cold Comfort Farm', 'Next Stop Wonderland', 'The Broken Hearts Club: A Romantic Comedy']"
Cure,"['Manhunt', 'The Zodiac Killer', 'The Private Eyes', 'Opera', 'Resolution']"
Greenfingers,"[""L'associé"", 'Dream with the Fishes', 'All I Wanna Do', ""God Said, 'Ha!'"", 'Stiff Upper Lips']"
Jackpot,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
Wet Hot American Summer,"['Jump Tomorrow', 'Stefano Quantestorie', ""L'associé"", 'Dream with the Fishes', 'All I Wanna Do']"
Relentless,"['Shadows of the Dead', 'Fast Getaway', 'A Rumor of Angels', 'The Zodiac Killer', 'Momentum']"
The Return of the Musketeers,"['The Return of the Musketeers', 'Airborne', 'High Life', 'Forbidden City Cop', 'Ali Baba ve 7 Cüceler']"
Road House,"['Rain Man', 'Stakeout', 'Tin Men', 'Still of the Night', 'The Black Cauldron']"
Romero,"['The Emperor and the Assassin', 'Die weisse Rose', 'Joan of Arc', 'Blame It on Fidel!', 'John Adams']"
Rosalie Goes Shopping,"['About a Girl', 'Ghost of Love', 'Dreileben: Beats Being Dead', 'In jeder Sekunde', 'Jerichow']"
Santa Sangre,"['Inferno', 'Sacred Heart', 'El bosque de Karadima', 'Doodlebug', 'Dolls']"
Sea of Love,"['The Bone Collector', 'Frenzy', 'Fletch', 'Willie Dynamite', 'The Sting']"
"See No Evil, Hear No Evil","['The Freshman', 'So I Married an Axe Murderer', 'I Love You to Death', 'The Fisher King', 'Suspect']"
Shirley Valentine,"['Cold Comfort Farm', 'Next Stop Wonderland', 'The Broken Hearts Club: A Romantic Comedy', 'The Brothers', 'Shirley Valentine']"
The Stepfather,"['A Summer Story', 'The Last Seduction', 'The Company of Wolves', 'Man Friday', 'Welcome Home, Roxy Carmichael']"
Tango & Cash,"['The In-Laws', 'White Hunter Black Heart', 'My Blue Heaven', 'Going in Style', 'Hooper']"
Tap,"['Rudy', 'The Natural', 'Songwriter', 'The Fisher King', 'I Love You to Death']"
Three Fugitives,"['Dead Poets Society', 'Pretty Woman', 'Beaches', 'The Color of Money', 'Tin Men']"
UHF,"['Desperately Seeking Susan', 'Easy Money', 'Zelig', 'Radio Days', 'Hannah and Her Sisters']"
Uncle Buck,"['The Great Outdoors', 'Some Kind of Wonderful', ""National Lampoon's Christmas Vacation"", 'Home Alone', 'October Sky']"
Vampire's Kiss,"['Salvador', 'Chattahoochee', 'Highway to Hell', 'Platoon', 'The Return of the Living Dead']"
The War of the Roses,"['Say Anything...', 'Maggie Simpson in The Longest Daycare', 'The Simpsons Movie', 'Beyond the Valley of the Dolls', 'Bulworth']"
The Wizard,"['Major Payne', 'Little Miss Marker', 'Cloak & Dagger', 'Alice Upside Down', 'October Sky']"
Worth Winning,"['A Good Woman', 'Chhoti Si Baat', 'Pie in the Sky', 'Cosi', ""I Love You, Don't Touch Me!""]"
Black Robe,"['Paris, France', 'Strictly Ballroom', '$9.99', 'Death in Brunswick', 'Bad Boy Bubby']"
The Cat o' Nine Tails,"['Suspiria', 'Deep Red', 'Chariots of the Gods', 'To the Devil a Daughter', 'Four Flies on Grey Velvet']"
The Cotton Club,"['Beat Street', 'The Hot Spot', 'At Close Range', 'Over the Edge', 'Arthur']"
Left Luggage,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
Who'll Stop the Rain,"['Black Rain', ""Hornet's Nest"", 'The Way of the Gun', 'Dead or Alive', 'Running Out of Time']"
Basket Case,"['Case 39', 'The Sleepover', 'Eating Raoul', 'Tokyo Zombie', 'Lo']"
Orphans,"['The House of Mirth', 'Hannibal Buress: Live From Chicago', 'The Magdalene Sisters', 'The Tango Lesson', 'Vertical Features Remake']"
The Princess Diaries,"['The Apple Dumpling Gang', 'Snowball Express', ""Now You See Him, Now You Don't"", 'Candleshoe', 'One Little Indian']"
Rush Hour 2,"['Rush Hour 2', 'Rush Hour 3', 'Menace II Society', 'Set It Off', 'Boiler Room']"
Thomas in Love,"['A Distant Neighborhood', 'The Referees', 'Bye Bye Germany', 'The Fifth Season', 'Dry Season']"
La Cage aux folles,"['The Old Gun', 'The Wild Child', 'The Story of Adele H', 'Black Belly of the Tarantula', 'Arabian Nights']"
Liebestraum,"['Savior', 'House of Dark Shadows', 'Dead of Winter', 'The Weekend Murders', 'Mulholland Falls']"
The Shootist,"['Ragtime', 'King of the Gypsies', 'Mandingo', 'Conan the Barbarian', ""The Brink's Job""]"
The Wild Child,"['The Story of Adele H', 'The Green Room', 'Small Change', 'The Man Who Loved Women', 'The Old Gun']"
Altered States,"['Twilight Zone: The Movie', 'Dreams', 'Death Note', 'Death Note: The Last Name', 'The Terminal Man']"
Any Which Way You Can,"['Every Which Way But Loose', 'Dirty Harry', 'Bird', 'The Outlaw Josey Wales', 'Midnight in the Garden of Good and Evil']"
Bad Timing,"['The Shout', 'Tideland', 'Rough Magic', 'Insignificance', 'The Fourth Protocol']"
American Pie 2,"['American Wedding', 'American Pie', 'Final Destination', 'Five Dances', 'Sixteen Candles']"
Osmosis Jones,"['LEGO DC Comics Super Heroes: Justice League vs. Bizarro League', 'LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!', 'LEGO DC Comics Super Heroes: Batman: Be-Leaguered', 'The Looney, Looney, Looney Bugs Bunny Movie', 'The Bugs Bunny/Road Runner Movie']"
The Others,"['Open Your Eyes', 'Without Limits', 'Mission: Impossible', 'Vanilla Sky', 'Scream 4']"
The Deep End,"['هیچ کجا هیچ کس', 'La Señal', 'The Body of My Enemy', ""Maigret's Dead Man"", 'The Sign of Four']"
On the Edge,"['The Boxer', 'In the Name of the Father', ""Some Mother's Son"", 'In America', 'Bloody Sunday']"
Session 9,"['Gosford Park', 'The Addiction', 'Secrets & Lies', 'High Art', 'Six Ways to Sunday']"
Rat Race,"['Interstate 60', 'The Mummy', 'The Odd Couple II', 'Last Holiday', 'Me Without You']"
Aberdeen,"['Simple Simon', 'Snapphanar', 'Respiro', 'My Mother Likes Women', 'Fear and Trembling']"
The Curse of the Jade Scorpion,"['Small Time Crooks', 'Hollywood Ending', 'Amistad', 'The Last Castle', 'Match Point']"
Jay and Silent Bob Strike Back,"['Clerks', 'Chasing Amy', 'A Better Place', 'Zack and Miri Make a Porno', 'Clerks II']"
An American Rhapsody,"['Asylum', 'Rambling Rose', 'Akkare Akkare Akkare', 'Rat Race', 'Black Snake Moan']"
Happy Accidents,"['Chance', 'Red Sun', 'Creator', 'Micky Flanagan: Live - Back In The Game Tour', 'Time Freak']"
Together,"['Kops', 'Adult Camp', 'Worlds Apart', 'We Are the Best!', 'R']"
Jeepers Creepers,"['Frailty', 'Confidence', 'Ripley Under Ground', 'The Human Stain', ""The Devil's Rejects""]"
The Hunter,"['Hot Stuff', 'Brighton Beach Memoirs', 'Black Sunday', 'Biloxi Blues', 'Fat City']"
Maniac,"['Vigilante', 'Mermaid', 'Time Raiders', 'Power Play', 'Rang De Basanti']"
The Wicker Man,"['The Beast Must Die', 'Nickelodeon', 'The Man Who Fell to Earth', 'The Long Good Friday', 'The Crucifer of Blood']"
Wish Upon a Star,"['Happiness Is a Warm Blanket, Charlie Brown', 'Scooby-Doo! Camp Scare', 'Tom and Jerry: Shiver Me Whiskers', 'Tom and Jerry: A Nutcracker Tale', ""Disney's American Legends""]"
Rock Star,"['Pay It Forward', 'Sweet November', 'Gang in Blue', 'Jersey Boys', 'The Man Who Challenged the Devil']"
Two Can Play That Game,"['This Christmas', 'Dear John', 'The Vow', ""Brian's Song"", 'Heaven is for Real']"
Diamond Men,"['Diamond Men', 'Hammett', 'The Sailor Who Fell from Grace with the Sea', 'Auggie Rose', 'Apartment 4E']"
Kill Me Later,"['Under New Management', 'Force', 'The Clan - Tale of the Frogs', 'Arranged', 'Love, Honour and Obey']"
L.I.E.,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
Our Lady of the Assassins,"[""Claire's Knee"", 'Love in the Afternoon', ""The Aviator's Wife"", 'Hands in the Air', 'The Son of Joseph']"
Into the Arms of Strangers: Stories of the Kindertransport,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Hardball,"['School of Rock', 'Along Came a Spider', ""The General's Daughter"", 'Rules of Engagement', 'Zoolander']"
Dinner Rush,"['Korengal', 'Hounddog', 'Felicity', 'Shottas', 'Best of the Best 2']"
Haiku Tunnel,"[""L'associé"", 'Dream with the Fishes', 'All I Wanna Do', ""God Said, 'Ha!'"", 'Stiff Upper Lips']"
Big Trouble,"['The Crew', 'An Innocent Man', ""Romy and Michele's High School Reunion"", 'Ruthless People', 'Nothing to Lose']"
Training Day,"[""Ocean's Eleven"", 'Mystic River', 'The Matrix Revolutions', ""Ocean's Twelve"", 'The Brave One']"
The American Astronaut,"['The History of Future Folk', ""Dr. Horrible's Sing-Along Blog"", 'Christmas on Mars', 'My God, My God, Why Hast Thou Forsaken Me?', ""Heaven's Soldiers""]"
Children Underground,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Go Tigers!,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Liam,"['Wonderland', 'Magnificent 7', 'The Tenant of Wildfell Hall', 'The Trap: What Happened to Our Dream of Freedom', 'Nuts in May']"
The Endurance: Shackleton's Legendary Antarctic Expedition,"['Into the Universe with Stephen Hawking', 'The Blue Planet', 'Encounters at the End of the World', 'Planet Earth', 'Grizzly Man']"
The French Lieutenant's Woman,"['Heavy Weather', 'Devdas', ""An Autumn's Tale"", 'Mera Naam Joker', 'Love and Magnets']"
The Legend of Hell House,"['The Last Tycoon', 'Shadow of the Blair Witch', 'Brimstone & Treacle', 'They Look Like People', 'Pandemonium']"
Little Man Tate,"['Great Balls of Fire!', 'Dominick and Eugene', 'Radio Days', 'Hannah and Her Sisters', 'Heart Beat']"
Moscow Does Not Believe in Tears,"['The Irony of Fate, or Enjoy Your Bath!', 'Courier', 'The Pokrovsky Gates', 'Station for Two', 'Love and Pigeons']"
Phantom of the Paradise,"['The Good Son', 'The Five Heartbeats', 'Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan', 'Beyond the Valley of the Dolls', 'The Rose']"
Montenegro,"['A Swedish Love Story', 'Sällskapsresan - eller finns det svenskt kaffe på grisfesten?', 'A Nightmare on Elm Street', 'A Nightmare on Elm Street 3: Dream Warriors', 'Zurich']"
Opera,"['Resolution', 'RangiTaranga', 'Khamosh', 'Mary Loss of Soul', 'Dark and Stormy Night']"
Play Misty for Me,"['Breezy', 'Tightrope', 'High Plains Drifter', 'Joe Kidd', 'Thunderbolt and Lightfoot']"
Silkwood,"['Straw Dogs', ""Prizzi's Honor"", 'Nashville', 'The Iron Rose', 'Flash']"
I Never Promised You a Rose Garden,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
Quadrophenia,"['Naked', 'The Rolling Stones: Gimme Shelter', 'Withnail & I', 'Mona Lisa', 'The King of Marvin Gardens']"
Don't Say a Word,"['Runaway Jury', 'Stay', 'Little Manhattan', 'The Girl Next Door', 'Mr. & Mrs. Smith']"
Hearts in Atlantis,"['The Shawshank Redemption', 'No Reservations', 'Bait', 'Proof of Life', 'The Majestic']"
Zoolander,"['School of Rock', ""The General's Daughter"", 'Tenacious D in The Pick of Destiny', 'Mother', 'DodgeBall: A True Underdog Story']"
Va Savoir (Who Knows?),"['The 10th District Court: Moments of Trial', 'My Son', 'The Widow of Saint-Pierre', ""Adam's Apples"", 'Renaissance']"
Won't Anybody Listen,"['Buena Vista Social Club', 'The Decline of Western Civilization Part II: The Metal Years', 'Down from the Mountain', 'Imagine: John Lennon', ""Won't Anybody Listen""]"
